id,page_num,relevance_tags,section_title,source_doc,text
meth_001,12,"self-response,internet,methodology,2020",Self-Response Operations Overview,2020_census_methodology.pdf,"Self-response operations for the 2020 Census began on March 12, 2020. Households could respond via internet, phone, or mail. The internet option was available for the first time as the primary response mode, with 67.4% of responding households choosing this method nationally."
meth_002,34,"NRFU,enumeration,rural,visits",Non-Response Follow-Up (NRFU),2020_census_methodology.pdf,"NRFU operations commenced on August 11, 2020 after pandemic-related delays. Enumerators visited non-responding households an average of 3.8 times before obtaining a response or determining the address was vacant. Rural areas required significantly more visits per completion."
meth_003,45,"group-quarters,COVID-19,enumeration",Group Quarters Enumeration,2020_census_methodology.pdf,"Group quarters enumeration faced unprecedented challenges due to COVID-19 restrictions. Nursing homes, prisons, and college dormitories required modified protocols including electronic data collection and administrative records integration where direct enumeration was not possible."
meth_004,67,"tribal,PO-box,addressing,coverage",P.O. Box Addressing on Tribal Lands,2020_census_methodology.pdf,Many tribal areas lack conventional street addresses and rely on P.O. Boxes for mail delivery. The Census Bureau implemented special procedures including in-person delivery of census materials and coordination with tribal liaisons to ensure coverage in these areas.
meth_005,78,"Alaska,remote,seasonal,enumeration",Remote Alaska Operations,2020_census_methodology.pdf,Remote Alaska enumeration began earlier than the rest of the nation due to seasonal accessibility constraints. Villages accessible only by small aircraft or boat were enumerated during the spring thaw period when travel conditions permitted safe access.
meth_006,89,"address,canvassing,coverage",Address Canvassing Quality,2020_census_methodology.pdf,"Address canvassing operations verified and updated 143 million addresses prior to enumeration. Areas with high rates of new construction, demolition, or address changes received additional verification to minimize coverage errors during self-response operations."
meth_007,102,"proxy,NRFU,response",Proxy Response Protocols,2020_census_methodology.pdf,"When household members could not be contacted directly, enumerators obtained proxy responses from neighbors, building managers, or other knowledgeable individuals. Proxy responses accounted for approximately 11% of NRFU completions nationally."
meth_008,115,"language,Spanish,assistance,self-response",Language Assistance Programs,2020_census_methodology.pdf,"Census materials were available in 13 languages, with telephone assistance in 59 languages. Despite these efforts, areas with high concentrations of limited-English-proficiency households showed lower self-response rates, particularly where Spanish or Native American languages predominated."
meth_009,128,"mail,USPS,rural,delivery",Mail Delivery Challenges,2020_census_methodology.pdf,"Rural areas with limited mail carrier access, including those served by highway contract routes, experienced delays in census material delivery. USPS coordination meetings were held weekly to address delivery failures and reroute materials as needed."
meth_010,142,"broadband,internet,rural,digital-divide",Broadband and Internet Access,2020_census_methodology.pdf,"Internet self-response was significantly correlated with broadband availability. Counties with less than 50% broadband coverage had internet response rates 23 percentage points lower than high-coverage areas, necessitating greater reliance on paper forms and NRFU."
