county_fips,county_name,pct_no_broadband,state_abbr
21137,"Lincoln County, Kentucky",52.7,KY
21139,"Livingston County, Kentucky",20.5,KY
21143,"Lyon County, Kentucky",48.6,KY
21145,"McCracken County, Kentucky",11.2,KY
21149,"McLean County, Kentucky",42.9,KY
21151,"Madison County, Kentucky",10.1,KY
21153,"Magoffin County, Kentucky",54.0,KY
21157,"Marshall County, Kentucky",22.6,KY
21163,"Meade County, Kentucky",4.8,KY
21165,"Menifee County, Kentucky",36.6,KY
21169,"Metcalfe County, Kentucky",36.6,KY
21171,"Monroe County, Kentucky",33.2,KY
21173,"Montgomery County, Kentucky",16.8,KY
21179,"Nelson County, Kentucky",14.5,KY
21183,"Ohio County, Kentucky",31.9,KY
21185,"Oldham County, Kentucky",3.1,KY
21187,"Owen County, Kentucky",54.4,KY
21191,"Pendleton County, Kentucky",48.1,KY
21193,"Perry County, Kentucky",54.0,KY
21197,"Powell County, Kentucky",41.5,KY
21199,"Pulaski County, Kentucky",21.0,KY
21203,"Rockcastle County, Kentucky",34.7,KY
21205,"Rowan County, Kentucky",24.4,KY
21207,"Russell County, Kentucky",46.4,KY
21209,"Scott County, Kentucky",5.5,KY
21211,"Shelby County, Kentucky",3.6,KY
21213,"Simpson County, Kentucky",10.7,KY
21215,"Spencer County, Kentucky",6.9,KY
21217,"Taylor County, Kentucky",10.8,KY
21219,"Todd County, Kentucky",36.4,KY
21221,"Trigg County, Kentucky",54.0,KY
21223,"Trimble County, Kentucky",42.6,KY
21225,"Union County, Kentucky",16.0,KY
21227,"Warren County, Kentucky",5.1,KY
21229,"Washington County, Kentucky",54.3,KY
21231,"Wayne County, Kentucky",52.3,KY
21233,"Webster County, Kentucky",36.8,KY
21235,"Whitley County, Kentucky",37.0,KY
21237,"Wolfe County, Kentucky",38.3,KY
21239,"Woodford County, Kentucky",12.4,KY
21067,"Fayette County, Kentucky",6.4,KY
21075,"Fulton County, Kentucky",50.1,KY
21081,"Grant County, Kentucky",19.8,KY
21087,"Green County, Kentucky",22.4,KY
21095,"Harlan County, Kentucky",44.8,KY
21101,"Henderson County, Kentucky",28.6,KY
21109,"Jackson County, Kentucky",51.1,KY
21115,"Johnson County, Kentucky",26.2,KY
21123,"Larue County, Kentucky",20.3,KY
21129,"Lee County, Kentucky",37.6,KY
21135,"Lewis County, Kentucky",48.3,KY
21141,"Logan County, Kentucky",22.5,KY
21147,"McCreary County, Kentucky",45.3,KY
21155,"Marion County, Kentucky",17.3,KY
21161,"Mason County, Kentucky",23.3,KY
21167,"Mercer County, Kentucky",8.7,KY
21175,"Morgan County, Kentucky",31.3,KY
21181,"Nicholas County, Kentucky",43.5,KY
21189,"Owsley County, Kentucky",50.1,KY
21195,"Pike County, Kentucky",36.2,KY
21201,"Robertson County, Kentucky",47.3,KY
21049,"Clark County, Kentucky",8.2,KY
21159,"Martin County, Kentucky",43.5,KY
21053,"Clinton County, Kentucky",35.8,KY
21177,"Muhlenberg County, Kentucky",26.8,KY
50003,"Bennington County, Vermont",29.3,VT
50005,"Caledonia County, Vermont",24.5,VT
50007,"Chittenden County, Vermont",11.2,VT
50009,"Essex County, Vermont",38.1,VT
50011,"Franklin County, Vermont",17.4,VT
50013,"Grand Isle County, Vermont",32.6,VT
50015,"Lamoille County, Vermont",30.5,VT
50017,"Orange County, Vermont",25.8,VT
50019,"Orleans County, Vermont",43.7,VT
50021,"Rutland County, Vermont",38.1,VT
50023,"Washington County, Vermont",17.2,VT
50025,"Windham County, Vermont",23.0,VT
50027,"Windsor County, Vermont",22.6,VT
50001,"Addison County, Vermont",13.8,VT
15009,"Maui County, Hawaii",36.8,HI
15005,"Kalawao County, Hawaii",45.5,HI
15007,"Kauai County, Hawaii",25.9,HI
15001,"Hawaii County, Hawaii",21.0,HI
15003,"Honolulu County, Hawaii",3.9,HI
26001,"Alcona County, Michigan",35.9,MI
26003,"Alger County, Michigan",37.2,MI
26007,"Alpena County, Michigan",16.4,MI
26009,"Antrim County, Michigan",21.9,MI
26013,"Baraga County, Michigan",48.2,MI
26015,"Barry County, Michigan",18.5,MI
26017,"Bay County, Michigan",13.8,MI
26019,"Benzie County, Michigan",25.1,MI
26021,"Berrien County, Michigan",11.2,MI
26023,"Branch County, Michigan",17.6,MI
26025,"Calhoun County, Michigan",11.7,MI
26027,"Cass County, Michigan",33.2,MI
26029,"Charlevoix County, Michigan",23.6,MI
26031,"Cheboygan County, Michigan",38.6,MI
26033,"Chippewa County, Michigan",27.9,MI
26035,"Clare County, Michigan",36.7,MI
26037,"Clinton County, Michigan",13.5,MI
26039,"Crawford County, Michigan",41.0,MI
26041,"Delta County, Michigan",31.7,MI
26043,"Dickinson County, Michigan",29.1,MI
26045,"Eaton County, Michigan",11.0,MI
26047,"Emmet County, Michigan",19.4,MI
26049,"Genesee County, Michigan",14.0,MI
26051,"Gladwin County, Michigan",54.3,MI
26053,"Gogebic County, Michigan",52.4,MI
26055,"Grand Traverse County, Michigan",5.2,MI
26057,"Gratiot County, Michigan",12.8,MI
