chunk_id,document_name,page_number,content,source
2020_census_methodology.pdf_p14_c50,2020_census_methodology.pdf,14,"tribal, state, and local governments, satellite imagery, and third-party data providers. This office work will also determine which parts of the country require fieldwork to verify address information. In-Field ADC will begin in 2019 and is anticipated to cover approximately 30 percent of all addresses, a sig- nificant reduction from the nearly 100 percent that were reviewed in the field during the 2010 Census. As noted on page 6, response rates to surveys and censuses have been declining. To Motivate People to Respond, the 2020 Census will include a nation- wide communications and partnership campaign. This campaign is focused on","2020_census_methodology.pdf, Page 14"
2020_census_methodology.pdf_p14_c51,2020_census_methodology.pdf,14,"People to Respond, the 2020 Census will include a nation- wide communications and partnership campaign. This campaign is focused on getting people to respond on their own (self-respond). It costs sig- nificantly less to process a response provided via the Internet or through a paper form than it does to send a fieldworker to someone’s home to collect their response. Advertising will make heavy use of digital media, tailoring the message to the audience. The Census Bureau Counts the Population by collecting information from all households, including those residing in group or unique living arrangements. The Census Bureau wants to","2020_census_methodology.pdf, Page 14"
2020_census_methodology.pdf_p14_c52,2020_census_methodology.pdf,14,"by collecting information from all households, including those residing in group or unique living arrangements. The Census Bureau wants to make it easy for people to respond anytime and any- where. To this end, the 2020 Census will offer the opportunity and encourage people to respond via the Internet and will encourage, but not require, people to enter a unique Census identification with their response. Online responses will be accurate, secure, and convenient. For those who do not respond, the Census Bureau will use the most cost-effective strategy for con- tacting and counting people. The goal for the 2020 Census","2020_census_methodology.pdf, Page 14"
2020_census_methodology.pdf_p14_c53,2020_census_methodology.pdf,14,"Census Bureau will use the most cost-effective strategy for con- tacting and counting people. The goal for the 2020 Census is to reduce the average number of visits to nonresponding households by using available data from government administrative records and third-party sources. These data will be used to identify vacant households, to determine the best time of day to visit a particular household, and to count the people and fill in the responses with existing high-quality data from trusted sources. A reduced number of visits will lead to significant 2.4 FOUR KEY INNOV ATION AREAS The 2020 Census team focused","2020_census_methodology.pdf, Page 14"
2020_census_methodology.pdf_p14_c54,2020_census_methodology.pdf,14,A reduced number of visits will lead to significant 2.4 FOUR KEY INNOV ATION AREAS The 2020 Census team focused on four key innovation areas in redesigning the Census: Reengineering Address Canvassing Optimizing Self-Response Utilizing Administrative Records and Third-Party Data Reengineering Field Operations,"2020_census_methodology.pdf, Page 14"
2020_census_methodology.pdf_p15_c55,2020_census_methodology.pdf,15,"U.S. Census Bureau 2020 Census Operational Plan—Version 3.0 9 cost savings. It can also allow the Census Bureau to focus its field resources to achieve consistent response rates across geographic areas and demo- graphic groups. In addition, the majority of fieldworkers will use mobile devices for collecting the data. Operations such as recruiting, training, and payroll will be automated, reducing the time required for these activities. New operational control centers will rely on automation to manage most of the fieldwork, enabling more efficient case assignment, automatic determination of optimal travel routes, and reduc- tion of the number of physical offices.","2020_census_methodology.pdf, Page 15"
2020_census_methodology.pdf_p15_c56,2020_census_methodology.pdf,15,"enabling more efficient case assignment, automatic determination of optimal travel routes, and reduc- tion of the number of physical offices. In general, a streamlined operation and management structure is expected to increase productivity and save costs. The last step in the 2020 Census is to Release the 2020 Census Results. The 2020 Census data will be processed and sent to the President (for appor- tionment) by December 31, 2020, to the states (for redistricting) by April 1, 2021, and to the pub- lic beginning in December 2021. 2.6 THE 2020 CENSUS OPERA TIONS The 2020 Census includes 35 operations that","2020_census_methodology.pdf, Page 15"
2020_census_methodology.pdf_p15_c57,2020_census_methodology.pdf,15,"the pub- lic beginning in December 2021. 2.6 THE 2020 CENSUS OPERA TIONS The 2020 Census includes 35 operations that are organized into eight major areas that correspond with the Census Bureau standard Work Breakdown Structure. The term operation refers to both sup- port and business functions. For example, Program Management is considered a support function, and ADC is considered a business function. Table 1 provides a high-level purpose statement for each operation. Figure 5: The 2020 Census—A New Design for the 21st Century Process and provide Census data. Deliver apportionment counts to the President by December 31, 2020. Release","2020_census_methodology.pdf, Page 15"
2020_census_methodology.pdf_p15_c58,2020_census_methodology.pdf,15,"for the 21st Century Process and provide Census data. Deliver apportionment counts to the President by December 31, 2020. Release counts for redistricting by April 1, 2021. Make it easier for the public to get information. COUNT THE POPULATION MOTIVATE PEOPLE TO RESPOND Conduct a nationwide communications and partnership campaign. Work with trusted sources to increase participation. Maximize outreach using traditional and new media. Target advertisements to specific audiences. Collect data from all households, including group and unique living arrangements. Make it easy for people to respond anytime, anywhere. Encourage people to use the online response option. Use the most","2020_census_methodology.pdf, Page 15"
2020_census_methodology.pdf_p15_c59,2020_census_methodology.pdf,15,"Make it easy for people to respond anytime, anywhere. Encourage people to use the online response option. Use the most cost-effective strategy to contact and count nonrespondents. Streamline in-field census taking. Knock on doors only when necessary. Identify all addresses where people could live. Conduct a 100-percent review and update of the nation’s address list. Minimize in-field work with in-office updating. Use multiple data sources to identify areas with address changes. Get local government input. ESTABLISH WHERE TO COUNT RELEASE CENSUS RESULTS The 2020 Census Operational Overview Count everyone once, only once, and in the right place.","2020_census_methodology.pdf, Page 15"
